sent
1	Кстати	0 кстати CONJ Prnt
9415	никогда	0 никогда ADVB Ques
9416	не	0 не PRCL
9417	выходим	0 выходить VERB impf intr actv plur pres 1per indc
9418	за	0 за PREP
9419	рамки	0 рамка NOUN femn inan plur accs
9420	бюджета	0 бюджет NOUN masc inan sing gent
9421	.	0 . PNCT
/sent
sent
9421	Но	0 но CONJ
9422	это	0 это ADJF Apro Subx neut sing nomn
9423	отнюдь	0 отнюдь ADVB
9424	не	0 не PRCL
9425	значит	0 значить VERB impf tran sing actv pres 3per indc
9426	,	0 , PNCT
9426	что	0 что CONJ
9427	рекламу	0 реклама NOUN femn inan sing accs
9428	на	0 на PREP
9429	телевидении	0 телевидение NOUN neut inan sing loct
9430	следует	0 следовать VERB impf intr actv sing pres 3per indc
9431	запретить	0 запретить INFN perf tran actv
9432	или	0 или CONJ
9433	сильно	0 сильно ADVB
9434	ограничить	0 ограничить INFN perf tran actv
9435	.	0 . PNCT
/sent
sent
9435	Я	0 я ADJF Apro Subx sing 1per nomn
9436	бы	0 бы PRCL
9437	назвал	0 назвать VERB perf tran masc sing actv past indc
9438	его	0 его ADJF Apro
9439	слова	0 слово NOUN neut inan plur accs
9440	обмолвкой	0 обмолвка NOUN femn inan sing ablt
9441	,	0 , PNCT
9441	невольно	0 невольно ADVB
9442	обнажившей	0 обнажить PRTF perf tran femn sing ablt actv past
9443	нищету	0 нищета NOUN femn inan sing accs
9444	корпоративной	0 корпоративный ADJF femn sing gent
9445	идеологии	0 идеология NOUN femn inan sing gent
9446	и	0 и CONJ
9447	морали	0 мораль NOUN femn inan sing gent
9448	узкого	0 узкий ADJF masc sing gent
9449	круга	0 круг NOUN masc inan sing gent
9450	,	0 , PNCT
9450	который	0 который ADJF Apro masc sing nomn
9451	держит	0 держать VERB impf tran sing actv pres 3per indc
9452	ресурсы	0 ресурс NOUN masc inan plur accs
9453	и	0 и CONJ
9454	финансы	0 финансы NOUN plur accs
9455	страны	0 страна NOUN femn inan sing gent
9456	.	0 . PNCT
/sent
sent
9456	А	0 а CONJ
9457	не	0 не PRCL
9458	говорят	0 говорить VERB impf tran plur actv pres 3per indc
9459	.	0 . PNCT
/sent
sent
9459	Что	0 что ADJF Apro Subx neut sing nomn
9460	касается	0 касаться VERB impf intr sing pres 3per indc
9461	бензина	0 бензин NOUN masc inan sing gent
9462	,	0 , PNCT
9462	то	0 то CONJ
9463	рост	0 рост NOUN masc inan sing nomn
9464	цен	0 цена NOUN femn inan plur gent
9465	в	0 в PREP
9466	целом	0 целое NOUN neut inan sing loct
9467	по	0 по PREP
9468	России	0 Россия NOUN femn inan sing datv
9469	был	0 быть VERB impf intr actv masc sing past indc
9470	вызван	0 вызвать PRTS perf masc sing pssv past
9471	не	0 не PRCL
9472	столько	0 столько CONJ
9473	монополистической	0 монополистический ADJF femn sing ablt
9474	деятельностью	0 деятельность NOUN femn inan sing ablt
9475	нефтяников	0 нефтяник NOUN masc anim plur gent
9476	,	0 , PNCT
9476	сколько	0 сколько CONJ
9477	изменениями	0 изменение NOUN neut inan plur ablt
9478	порядка	0 порядок NOUN masc inan sing gent
9479	уплаты	0 уплата NOUN femn inan sing gent
9480	акцизов	0 акциз NOUN masc inan plur gent
9481	на	0 на PREP
9482	ГСМ	0 ГСМ NOUN masc inan plur accs
9483	.	0 . PNCT
/sent
sent
9483	Несколько	0 несколько NUMR accs
9484	месяцев	0 месяц NOUN masc inan plur gent
9485	назад	0 назад ADVB
9486	представительные	0 представительный ADJF plur nomn
9487	органы	0 орган NOUN masc inan plur nomn
9488	власти	0 власть NOUN femn inan sing gent
9489	Татарстана	0 Татарстан NOUN masc inan sing gent
9490	и	0 и CONJ
9491	Башкортостана	0 Башкортостан NOUN masc inan sing gent
9492	обратились	0 обратиться VERB perf intr plur past indc
9493	в	0 в PREP
9494	Конституционный	0 конституционный ADJF masc sing accs inan
9495	суд	0 суд NOUN masc inan sing accs
9496	РФ	0 РФ NOUN femn inan Fixd sing gent
9497	,	0 , PNCT
9497	считая	0 считать GRND impf tran actv pres
9498	неконституционным	0 неконституционный ADJF masc sing ablt
9499	тот	0 тот ADJF Apro masc sing accs inan
9500	факт	0 факт NOUN masc inan sing accs
9501	,	0 , PNCT
9501	что	0 что CONJ
9502	Верховный	0 верховный ADJF masc sing nomn
9503	суд	0 суд NOUN masc inan sing nomn
9504	России	0 Россия NOUN femn inan sing gent
9505	рассматривает	0 рассматривать VERB impf tran sing actv pres 3per indc
9506	конституции	0 конституция NOUN femn inan plur accs
9507	или	0 или CONJ
9508	уставы	0 устав NOUN masc inan plur accs
9509	субъектов	0 субъект NOUN masc inan plur gent
9510	Российской	0 российский ADJF femn sing gent
9511	Федерации	0 федерация NOUN femn inan sing gent
9512	на	0 на PREP
9513	предмет	0 предмет NOUN masc inan sing accs
9514	соответствия	0 соответствие NOUN neut inan sing gent
9515	федеральным	0 федеральный ADJF plur datv
9516	законам	0 закон NOUN masc inan plur datv
9517	.	0 . PNCT
/sent
sent
9517	По	0 по PREP
9518	мнению	0 мнение NOUN neut inan sing datv
9519	учёных	0 ученый NOUN masc anim plur gent
9520	-	0 - PNCT
9520	экономистов	0 экономист NOUN masc anim plur gent
9521	,	0 , PNCT
9521	в	0 в PREP
9522	частности	0 частность NOUN femn inan sing loct
9523	,	0 , PNCT
9523	академиков	0 академик NOUN masc anim plur gent
9524	РАН	0 РАН NOUN femn inan Fixd sing gent
9525	Н	0 Н UNKN
9526	.	0 . PNCT
9526	Петракова	0 Петраков NOUN masc anim sing gent
9527	,	0 , PNCT
9527	Д	0 Д UNKN
9528	.	0 . PNCT
9528	Львова	0 Львов NOUN masc inan sing gent
9529	,	0 , PNCT
9529	С	0 С UNKN
9530	.	0 . PNCT
9530	Глазьева	0 Глазьев NOUN masc anim sing gent
9531	,	0 , PNCT
9531	других	0 другой ADJF Apro plur gent
9532	российских	0 российский ADJF plur gent
9533	и	0 и CONJ
9534	зарубежных	0 зарубежный ADJF plur gent
9535	экономистов	0 экономист NOUN masc anim plur gent
9536	,	0 , PNCT
9536	в	0 в PREP
9537	1998	0 1998 NUMR
9538	г	0 год NOUN masc inan sing loc2
9539	.	0 . PNCT
9539	в	0 в PREP
9540	РФ	0 РФ NOUN femn inan Fixd sing loct
9541	для	0 для PREP
9542	дефолта	0 дефолт NOUN masc inan sing gent
9543	не	0 не PRCL
9544	было	0 быть VERB impf intr actv neut sing past indc
9545	объективных	0 объективный ADJF plur gent
9546	предпосылок	0 предпосылка NOUN femn inan plur gent
9547	.	0 . PNCT
/sent
sent
9547	В	0 в PREP
9548	последние	0 последний ADJF plur accs inan
9549	годы	0 год NOUN masc inan plur accs
9550	были	0 быть VERB impf intr actv plur past indc
9551	приняты	0 принятый ADJS plur
9552	решения	0 решение NOUN neut inan plur nomn
9553	об	0 об PREP
9554	отмене	0 отмена NOUN femn inan sing loct
9555	так	0 так ADVB Ques
9556	называемых	0 называть PRTF impf tran plur gent pssv pres
9557	оборотных	0 оборотный ADJF plur gent
9558	налогов	0 налог NOUN masc inan plur gent
9559	,	0 , PNCT
9559	исчислявшихся	0 исчисляться PRTF impf intr plur gent past
9560	от	0 от PREP
9561	выручки	0 выручка NOUN femn inan sing gent
9562	от	0 от PREP
9563	реализации	0 реализация NOUN femn inan sing gent
9564	товаров	0 товар NOUN masc inan plur gent
9565	,	0 , PNCT
9565	работ	0 работа NOUN femn inan plur gent
9566	и	0 и CONJ
9567	услуг	0 услуга NOUN femn inan plur gent
9568	.	0 . PNCT
/sent
sent
9568	А	0 а CONJ
9569	СПС	0 СПС NOUN masc inan Fixd sing nomn
9570	открыто	0 открыто ADVB
9571	конкурирует	0 конкурировать VERB impf intr actv sing pres 3per indc
9572	с	0 с PREP
9573	правым	0 правый ADJF neut sing ablt
9574	крылом	0 крыло NOUN neut inan sing ablt
9575	"	0 " PNCT
9575	Единой	0 единый ADJF femn sing gent
9576	России	0 Россия NOUN femn inan sing gent
9577	"	0 " PNCT
9578	.	0 . PNCT
/sent
sent
9579	При	0 при PREP
9580	этом	0 это ADJF Apro Subx neut sing loct
9581	в	0 в PREP
9582	исполкоме	0 исполком NOUN masc inan sing loct
9583	не	0 не PRCL
9584	обязательно	0 обязательно ADVB
9585	должны	0 должен ADJS plur
9586	работать	0 работать INFN impf intr actv
9587	только	0 только PRCL
9588	члены	0 член NOUN masc inan plur nomn
9589	партии	0 партия NOUN femn inan sing gent
9590	,	0 , PNCT
9590	хотя	0 хотя CONJ
9591	его	0 его ADJF Apro
9592	председатель	0 председатель NOUN masc anim sing nomn
9593	,	0 , PNCT
9593	как	0 как ADVB Ques
9594	мне	0 я ADJF Apro Subx sing 1per datv
9595	кажется	0 казаться VERB impf intr sing pres 3per indc
9596	,	0 , PNCT
9596	обязательно	0 обязательно ADVB
9597	должен	0 должен ADJS masc sing
9598	быть	0 быть INFN impf intr actv
9599	партийным	0 партийный ADJF masc sing ablt
9600	.	0 . PNCT
/sent
sent
9600	В	0 в PREP
9601	чём	0 что ADJF Apro Subx neut sing loct
9602	парадокс	0 парадокс NOUN masc inan sing nomn
9603	современного	0 современный ADJF masc sing gent
9604	российского	0 российский ADJF masc sing gent
9605	социума	0 социум NOUN masc inan sing gent
9606	?	0 ? PNCT
/sent
sent
9606	В	0 в PREP
9607	ЕС	0 Ес NOUN masc inan Fixd sing loct
9608	,	0 , PNCT
9608	к	0 к PREP
9609	примеру	0 пример NOUN masc inan sing datv
9610	,	0 , PNCT
9610	сохраняется	0 сохраняться VERB impf intr sing pres 3per indc
9611	ряд	0 ряд NOUN masc inan sing nomn
9612	ограничений	0 ограничение NOUN neut inan plur gent
9613	в	0 в PREP
9614	торговле	0 торговля NOUN femn inan sing loct
9615	с	0 с PREP
9616	другими	0 другой ADJF Apro plur ablt
9617	государствами	0 государство NOUN neut inan plur ablt
9618	.	0 . PNCT
/sent
sent
9618	Могут	0 мочь VERB impf intr actv plur pres 3per indc
9619	и	0 и CONJ
9620	попытаются	0 попытаться VERB perf intr plur futr 3per indc
9621	,	0 , PNCT
9621	вне	0 вне PREP
9622	всякого	0 всякий ADJF Apro neut sing gent
9623	сомнения	0 сомнение NOUN neut inan sing gent
9624	.	0 . PNCT
/sent
sent
9624	Премьер	0 премьер NOUN masc anim sing nomn
9625	купается	0 купаться VERB impf intr sing pres 3per indc
9626	в	0 в PREP
9627	Байкале	0 Байкал NOUN masc inan sing loct
9628	,	0 , PNCT
9628	а	0 а CONJ
9629	потом	0 потом ADVB Ques
9630	--	0 -- PNCT
9630	в	0 в PREP
9631	Чёрном	0 черный ADJF neut sing loct
9632	море	0 море NOUN neut inan sing loct
9633	,	0 , PNCT
9633	у	0 у PREP
9634	него	0 он ADJF Apro Subx masc sing 3per gent
9635	всё	0 всё ADJF Apro Subx neut sing nomn
9636	в	0 в PREP
9637	ажуре	0 ажур NOUN masc inan sing loct
9638	.	0 . PNCT
/sent
sent
9638	И	0 и CONJ
9639	по	0 по PREP
9640	иностранным	0 иностранный ADJF plur datv
9641	гражданам	0 гражданин NOUN masc anim plur datv
9642	мы	0 мы ADJF Apro Subx plur 1per nomn
9643	приняли	0 принять VERB perf tran plur actv past indc
9644	ограничения	0 ограничение NOUN neut inan plur accs
9645	,	0 , PNCT
9645	иначе	0 иначе CONJ
9646	они	0 они ADJF Apro Subx plur 3per nomn
9647	устремились	0 устремиться VERB perf intr plur past indc
9648	бы	0 бы PRCL
9649	к	0 к PREP
9650	нам	0 мы ADJF Apro Subx plur 1per datv
9651	и	0 и CONJ
9652	в	0 в PREP
9653	первую	0 первый ADJF Anum femn sing accs
9654	очередь	0 очередь NOUN femn inan sing accs
9655	на	0 на PREP
9656	Кубань	0 Кубань NOUN femn inan sing accs
9657	.	0 . PNCT
/sent
sent
9657	2	0 2 NUMR
9658	.	0 . PNCT
/sent
sent
9658	По	0 по PREP
9659	мнению	0 мнение NOUN neut inan sing datv
9660	одного	0 один ADJF Apro sing masc gent
9661	из	0 из PREP
9662	идеологов	0 идеолог NOUN masc anim plur gent
9663	образовательной	0 образовательный ADJF femn sing gent
9664	реформы	0 реформа NOUN femn inan sing gent
9665	--	0 -- PNCT
9665	ректора	0 ректор NOUN masc anim sing gent
9666	Высшей	0 высший ADJF femn sing gent
9667	школы	0 школа NOUN femn inan sing gent
9668	экономики	0 экономика NOUN femn inan sing gent
9669	(	0 ( PNCT
9669	ВШЭ	0 Вшэ NOUN femn inan Fixd sing gent
9670	)	0 ) PNCT
9670	Ярослава	0 Ярослав NOUN masc anim sing gent
9671	Кузьминова	0 Кузьминов NOUN masc anim sing gent
9672	,	0 , PNCT
9672	если	0 если CONJ
9673	всё	0 всё ADJF Apro Subx neut sing accs
9674	оставить	0 оставить INFN perf tran actv
9675	как	0 как CONJ
9676	есть	0 быть VERB impf intr actv sing pres 3per indc
9677	,	0 , PNCT
9677	то	0 то CONJ
9678	уже	0 уже ADVB
9679	через	0 через PREP
9680	7	0 7 NUMR
9681	-	0 - PNCT
9681	10	0 10 NUMR
9682	лет	0 год NOUN masc inan plur gent
9683	мы	0 мы ADJF Apro Subx plur 1per nomn
9684	не	0 не PRCL
9685	сможем	0 смочь VERB perf intr actv plur futr 1per indc
9686	конкурировать	0 конкурировать INFN impf intr actv
9687	на	0 на PREP
9688	мировом	0 мировой ADJF masc sing loct
9689	рынке	0 рынок NOUN masc inan sing loct
9690	образовательных	0 образовательный ADJF plur gent
9691	услуг	0 услуга NOUN femn inan plur gent
9692	,	0 , PNCT
9692	а	0 а CONJ
9693	места	0 место NOUN neut inan sing gent
9694	в	0 в PREP
9695	списке	0 список NOUN masc inan sing loct
9696	стран	0 страна NOUN femn inan plur gent
9697	с	0 с PREP
9698	интеллектуальной	0 интеллектуальный ADJF femn sing ablt
9699	экономикой	0 экономика NOUN femn inan sing ablt
9700	для	0 для PREP
9701	России	0 Россия NOUN femn inan sing gent
9702	вообще	0 вообще ADVB
9703	не	0 не PRCL
9704	останется	0 остаться VERB perf intr sing futr 3per indc
9705	.	0 . PNCT
/sent
sent
9705	Куда	0 куда ADVB Ques
9706	уходит	0 уходить VERB impf intr actv sing pres 3per indc
9707	остальная	0 остальной ADJF Apro femn sing nomn
9708	?	0 ? PNCT
/sent
sent
9708	Никому	0 никто ADJF Apro Subx sing masc datv
9709	и	0 и CONJ
9710	в	0 в PREP
9711	голову	0 голова NOUN femn inan sing accs
9712	не	0 не PRCL
9713	пришло	0 прийти VERB perf intr actv neut sing past indc
9714	,	0 , PNCT
9714	что	0 что CONJ
9715	сидящие	0 сидеть PRTF impf intr actv plur nomn pres
9716	в	0 в PREP
9717	машине	0 машина NOUN femn inan sing loct
9718	пасут	0 пасти VERB impf tran plur actv pres 3per indc
9719	именно	0 именно PRCL
9720	их	0 они ADJF Apro Subx plur 3per accs
9721	...	0 ... PNCT
/sent
sent
9721	Считалось	0 считаться VERB impf intr neut sing past indc
9722	,	0 , PNCT
9722	что	0 что CONJ
9723	при	0 при PREP
9724	определённых	0 определенный ADJF plur loct
9725	обстоятельствах	0 обстоятельство NOUN neut inan plur loct
9726	эта	0 этот ADJF Apro femn sing nomn
9727	цена	0 цена NOUN femn inan sing nomn
9728	может	0 мочь VERB impf intr actv sing pres 3per indc
9729	упасть	0 упасть INFN perf intr actv
9730	на	0 на PREP
9731	10	0 10 NUMR
9732	долларов	0 доллар NOUN masc inan plur gent
9733	.	0 . PNCT
/sent
sent
9733	Например	0 например CONJ Prnt
9734	,	0 , PNCT
9734	когда	0 когда CONJ
9735	в	0 в PREP
9736	2000	0 2000 NUMR
9737	году	0 год NOUN masc inan sing loc2
9738	правительство	0 правительство NOUN neut inan sing nomn
9739	вынашивало	0 вынашивать VERB impf tran neut sing actv past indc
9740	планы	0 план NOUN masc inan plur accs
9741	по	0 по PREP
9742	созданию	0 создание NOUN neut inan sing datv
9743	очередного	0 очередной ADJF neut sing gent
9744	суперведомства	0 суперведомство NOUN neut inan sing gent
9745	--	0 -- PNCT
9745	финансовой	0 финансовый ADJF femn sing gent
9746	разведки	0 разведка NOUN femn inan sing gent
9747	,	0 , PNCT
9747	предполагалось	0 предполагаться VERB impf intr neut sing past indc
9748	,	0 , PNCT
9748	что	0 что CONJ
9749	в	0 в PREP
9750	её	0 ее ADJF Apro
9751	состав	0 состав NOUN masc inan sing accs
9752	должна	0 должен ADJS femn sing
9753	войти	0 войти INFN perf intr actv
9754	и	0 и CONJ
9755	налоговая	0 налоговый ADJF femn sing nomn
9756	полиция	0 полиция NOUN femn inan sing nomn
9757	.	0 . PNCT
/sent
sent
9757	В	0 В UNKN
9758	.	0 . PNCT
9758	Познер	0 Познер NOUN masc anim sing nomn
9759	:	0 : PNCT
9760	-	0 - PNCT
9761	-	0 - PNCT
9762	Как	0 как ADVB Ques
9763	будет	0 быть VERB impf intr actv sing futr 3per indc
9764	формироваться	0 формироваться INFN impf intr
9765	у	0 у PREP
9766	вас	0 вы ADJF Apro Subx plur 2per gent
9767	рынок	0 рынок NOUN masc inan sing nomn
9768	земли	0 земля NOUN femn inan sing gent
9769	?	0 ? PNCT
/sent
sent
9769	А	0 а CONJ
9770	вернее	0 вернее CONJ Prnt
9771	,	0 , PNCT
9771	никакая	0 никакой ADJF Apro femn sing nomn
9772	не	0 не PRCL
9773	партия	0 партия NOUN femn inan sing nomn
9774	.	0 . PNCT
/sent
sent
9774	Эксперты	0 эксперт NOUN masc anim plur nomn
9775	Серафимовского	0 серафимовский ADJF masc sing gent
9776	клуба	0 клуб NOUN masc inan sing gent
9777	оценивают	0 оценивать VERB impf tran plur actv pres 3per indc
9778	утрату	0 утрата NOUN femn inan sing accs
9779	рабочего	0 рабочий ADJF masc sing gent
9780	капитала	0 капитал NOUN masc inan sing gent
9781	российской	0 российский ADJF femn sing gent
9782	экономики	0 экономика NOUN femn inan sing gent
9783	за	0 за PREP
9784	десятилетия	0 десятилетие NOUN neut inan plur accs
9785	реформ	0 реформа NOUN femn inan plur gent
9786	в	0 в PREP
9787	1	0 1 NUMR
9788	,	0 , PNCT
9788	5	0 5 NUMR
9789	триллиона	0 триллион NOUN masc inan sing gent
9790	долларов	0 доллар NOUN masc inan plur gent
9791	.	0 . PNCT
/sent
sent
9791	Узнали	0 узнать VERB perf tran plur actv past indc
9792	об	0 об PREP
9793	этом	0 это ADJF Apro Subx neut sing loct
9794	из	0 из PREP
9795	двухчасовых	0 двухчасовой ADJF plur gent
9796	теленовостей	0 теленовость NOUN femn inan plur gent
9797	.	0 . PNCT
/sent
sent
9797	Равно	0 равно ADVB
9798	как	0 как ADVB Ques
9799	и	0 и CONJ
9800	мировая	0 мировой ADJF femn sing nomn
9801	скорбь	0 скорбь NOUN femn inan sing nomn
9802	Явлинского	0 Явлинский NOUN masc anim sing gent
9803	о	0 о PREP
9804	поверженной	0 поверженный ADJF femn sing loct
9805	демократии	0 демократия NOUN femn inan sing loct
9806	.	0 . PNCT
/sent
sent
9806	Логика	0 логика NOUN femn inan sing nomn
9807	только	0 только PRCL
9808	рыночного	0 рыночный ADJF neut sing gent
9809	спонтанного	0 спонтанный ADJF neut sing gent
9810	движения	0 движение NOUN neut inan sing gent
9811	к	0 к PREP
9812	саморегуляции	0 саморегуляция NOUN femn inan sing datv
9813	выявляет	0 выявлять VERB impf tran sing actv pres 3per indc
9814	миллионов	0 миллион NOUN masc inan plur gent
9815	шестьдесят	0 шестьдесят NUMR accs
9816	или	0 или CONJ
9817	даже	0 даже PRCL
9818	восемьдесят	0 восемьдесят NUMR accs
9819	отвергнутых	0 отвергнуть PRTF perf tran plur gent pssv past
9820	этой	0 этот ADJF Apro femn sing ablt
9821	системой	0 система NOUN femn inan sing ablt
9822	человек	0 человек NOUN masc anim plur gent
9823	.	0 . PNCT
/sent
sent
9823	По	0 по PREP
9824	его	0 его ADJF Apro
9825	мнению	0 мнение NOUN neut inan sing datv
9826	,	0 , PNCT
9826	к	0 к PREP
9827	традиционным	0 традиционный ADJF plur datv
9828	следует	0 следовать VERB impf intr actv sing pres 3per indc
9829	отнести	0 отнести INFN perf tran actv
9830	те	0 тот ADJF Apro plur accs inan
9831	религиозные	0 религиозный ADJF plur accs inan
9832	организации	0 организация NOUN femn inan plur accs
9833	,	0 , PNCT
9833	которые	0 который ADJF Apro plur nomn
9834	действуют	0 действовать VERB impf intr actv plur pres 3per indc
9835	на	0 на PREP
9836	территории	0 территория NOUN femn inan sing loct
9837	нашей	0 наш ADJF Apro femn sing gent
9838	страны	0 страна NOUN femn inan sing gent
9839	не	0 не PRCL
9840	менее	0 менее ADVB
9841	85	0 85 NUMR
9842	лет	0 год NOUN masc inan plur gent
9843	(	0 ( PNCT
9843	к	0 к PREP
9844	моменту	0 момент NOUN masc inan sing datv
9845	принятия	0 принятие NOUN neut inan sing gent
9846	законопроекта	0 законопроект NOUN masc inan sing gent
9847	)	0 ) PNCT
9848	,	0 , PNCT
9849	имеют	0 иметь VERB impf tran plur actv pres 3per indc
9850	отделения	0 отделение NOUN neut inan plur accs
9851	как	0 как CONJ
9852	минимум	0 минимум NOUN masc inan sing nomn
9853	в	0 в PREP
9854	10	0 10 NUMR
9855	субъектах	0 субъект NOUN masc inan plur loct
9856	Федерации	0 федерация NOUN femn inan sing gent
9857	и	0 и CONJ
9858	"	0 " PNCT
9858	признаны	0 признать PRTS perf plur pssv past
9859	неотъемлемой	0 неотъемлемый ADJF femn sing ablt
9860	частью	0 часть NOUN femn inan sing ablt
9861	исторического	0 исторический ADJF neut sing gent
9862	,	0 , PNCT
9862	духовного	0 духовный ADJF neut sing gent
9863	и	0 и CONJ
9864	культурного	0 культурный ADJF neut sing gent
9865	наследия	0 наследие NOUN neut inan sing gent
9866	народов	0 народ NOUN masc inan plur gent
9867	"	0 " PNCT
9868	.	0 . PNCT
/sent
sent
9869	Если	0 если CONJ
9870	законы	0 закон NOUN masc inan plur nomn
9871	не	0 не PRCL
9872	будут	0 быть VERB impf intr actv plur futr 3per indc
9873	приняты	0 принять PRTS perf plur pssv past
9874	в	0 в PREP
9875	ближайшее	0 ближайший ADJF neut sing accs inan
9876	время	0 время NOUN neut inan sing accs
9877	,	0 , PNCT
9877	НПФ	0 НПФ NOUN masc inan Fixd plur nomn
9878	могут	0 мочь VERB impf intr actv plur pres 3per indc
9879	остаться	0 остаться INFN perf intr
9880	в	0 в PREP
9881	стороне	0 сторона NOUN femn inan sing loct
9882	от	0 от PREP
9883	пенсионных	0 пенсионный ADJF plur gent
9884	денег	0 деньги NOUN plur gent
9885	.	0 . PNCT
/sent
sent
9885	Мы	0 мы ADJF Apro Subx plur 1per nomn
9886	считаем	0 считать VERB impf tran plur actv pres 1per indc
9887	,	0 , PNCT
9887	что	0 что CONJ
9888	общество	0 общество NOUN neut inan sing nomn
9889	имеет	0 иметь VERB impf tran sing actv pres 3per indc
9890	право	0 право NOUN neut inan sing accs
9891	законодательно	0 законодательно ADVB
9892	ограничивать	0 ограничивать INFN impf tran actv
9893	экономические	0 экономический ADJF plur accs inan
9894	и	0 и CONJ
9895	гражданские	0 гражданский ADJF plur accs inan
9896	свободы	0 свобода NOUN femn inan plur accs
9897	,	0 , PNCT
9897	если	0 если CONJ
9898	деятельность	0 деятельность NOUN femn inan sing nomn
9899	,	0 , PNCT
9899	являющаяся	0 являться PRTF impf intr femn sing nomn pres
9900	следствием	0 следствие NOUN neut inan sing ablt
9901	этих	0 этот ADJF Apro plur gent
9902	свобод	0 свобода NOUN femn inan plur gent
9903	,	0 , PNCT
9903	вступает	0 вступать VERB impf intr actv sing pres 3per indc
9904	в	0 в PREP
9905	противоречие	0 противоречие NOUN neut inan sing accs
9906	с	0 с PREP
9907	общественной	0 общественный ADJF femn sing ablt
9908	нравственностью	0 нравственность NOUN femn inan sing ablt
9909	,	0 , PNCT
9909	с	0 с PREP
9910	общественными	0 общественный ADJF plur ablt
9911	и	0 и CONJ
9912	общегосударственными	0 общегосударственный ADJF plur ablt
9913	интересами	0 интерес NOUN masc inan plur ablt
9914	.	0 . PNCT
/sent
sent
9914	А	0 а CONJ
9915	мне	0 я ADJF Apro Subx sing 1per datv
9916	вот	0 вот PRCL
9917	и	0 и CONJ
9918	Березовский	0 Березовский NOUN masc anim sing nomn
9919	нравится	0 нравиться VERB impf intr sing pres 3per indc
9920	.	0 . PNCT
/sent
sent
9920	Например	0 например CONJ Prnt
9921	,	0 , PNCT
9921	совершенно	0 совершенно ADVB
9922	понятно	0 понятно PRED
9923	,	0 , PNCT
9923	что	0 что CONJ
9924	если	0 если CONJ
9925	вдруг	0 вдруг ADVB
9926	резко	0 резко ADVB
9927	повышается	0 повышаться VERB impf intr sing pres 3per indc
9928	температура	0 температура NOUN femn inan sing nomn
9929	воздуха	0 воздух NOUN masc inan sing gent
9930	,	0 , PNCT
9930	то	0 то CONJ
9931	возникает	0 возникать VERB impf intr actv sing pres 3per indc
9932	ажиотажный	0 ажиотажный ADJF masc sing nomn
9933	спрос	0 спрос NOUN masc inan sing nomn
9934	на	0 на PREP
9935	воду	0 вода NOUN femn inan sing accs
9936	и	0 и CONJ
9937	мороженое	0 мороженое NOUN neut inan sing accs
9938	.	0 . PNCT
/sent
sent
9938	Так	0 так ADVB Ques
9939	грандиозная	0 грандиозный ADJF femn sing nomn
9940	корпорация	0 корпорация NOUN femn inan sing nomn
9941	КГБ	0 КГБ NOUN masc inan Fixd sing nomn
9942	совершила	0 совершить VERB perf tran femn sing actv past indc
9943	корпоративное	0 корпоративный ADJF neut sing accs inan
9944	предательство	0 предательство NOUN neut inan sing accs
9945	,	0 , PNCT
9945	внося	0 вносить GRND impf tran actv pres
9946	трупные	0 трупный ADJF plur accs inan
9947	яды	0 яд NOUN masc inan plur accs
9948	в	0 в PREP
9949	действие	0 действие NOUN neut inan sing accs
9950	своих	0 свой ADJF Apro plur gent
9951	преемников	0 преемник NOUN masc anim plur gent
9952	из	0 из PREP
9953	ФСБ	0 ФСБ NOUN femn inan Fixd sing gent
9954	.	0 . PNCT
/sent
sent
9954	Проекция	0 проекция NOUN femn inan sing nomn
9955	этой	0 этот ADJF Apro femn sing gent
9956	структуры	0 структура NOUN femn inan sing gent
9957	на	0 на PREP
9958	карту	0 карта NOUN femn inan sing accs
9959	административно-территориальногого	0 административно-территориальный ADJF neut sing gent
9960	деления	0 деление NOUN neut inan sing gent
9961	39	0 39 NUMR
9962	районов	0 район NOUN masc inan plur gent
9963	Московской	0 московский ADJF femn sing gent
9964	области	0 область NOUN femn inan sing gent
9965	означает	0 означать VERB impf tran sing actv pres 3per indc
9966	,	0 , PNCT
9966	что	0 что CONJ
9967	карту	0 карта NOUN femn inan sing accs
9968	нужно	0 нужно PRED
9969	существенно	0 существенно ADVB
9970	перекраивать	0 перекраивать INFN impf tran actv
9971	.	0 . PNCT
/sent
sent
9971	Получается	0 получаться VERB impf intr sing pres 3per indc
9972	,	0 , PNCT
9972	ПФР	0 ПФР NOUN masc inan Fixd sing nomn
9973	не	0 не PRCL
9974	будет	0 быть VERB impf intr actv sing futr 3per indc
9975	облагать	0 облагать INFN impf tran actv
9976	их	0 они ADJF Apro Subx plur 3per accs
9977	налогом	0 налог NOUN masc inan sing ablt
9978	,	0 , PNCT
9978	а	0 а CONJ
9979	мы	0 мы ADJF Apro Subx plur 1per nomn
9980	будем	0 быть VERB impf intr actv plur futr 1per indc
9981	?	0 ? PNCT
9982	"	0 " PNCT
9983	-	0 - PNCT
9984	-	0 - PNCT
9985	возмущается	0 возмущаться VERB impf intr sing pres 3per indc
9986	Морозова	0 Морозова NOUN femn anim sing nomn
9987	.	0 . PNCT
/sent
sent
9987	Как	0 как ADVB Ques
9988	отметил	0 отметить VERB perf tran masc sing actv past indc
9989	глава	0 глава NOUN masc anim sing nomn
9990	холдинга	0 холдинг NOUN masc inan sing gent
9991	"	0 " PNCT
